SEQFID	Dynamic_Annotation	Static_Annotation	HMT_ID	Genus	Species	Strain	Contigs	Size_bp
SEQF1492		NCBI	HMT-550	Staphylococcus	aureus	MRSA USA300_TCH1516	3	2,903,081
SEQF1493		NCBI	HMT-568	Lactobacillus	casei	str. Zhang	2	2,898,335
SEQF1494	HOMD	NCBI	HMT-745	Streptococcus	pyogenes	NZ131	1	1,815,785
SEQF1495		NCBI	HMT-604	Enterococcus	faecalis	OG1RF, ATCC 47077	1	2,739,625
SEQF1496	HOMD	NCBI	HMT-161	Veillonella	parvula	DSM 2008, Te3, ATCC 10790, JCM 1297	1	2,132,142
SEQF1497	HOMD	NCBI	HMT-588	Bifidobacterium	dentium	ATCC 27678	2	2,642,081
SEQF1498	HOMD	NCBI	HMT-654	Eggerthella	lenta	DSM 2243, VPI 0255	1	3,632,260
SEQF1499		NCBI	HMT-805	Treponema	pallidum	SS14	1	1,139,457
SEQF1500		NCBI	HMT-804	Lactococcus	lactis	MG1363	1	2,529,478
SEQF1501		NCBI	HMT-804	Lactococcus	lactis	SK11	6	2,598,348
SEQF1503		NCBI	HMT-574	Escherichia	coli	BL21(DE3)	1	4,558,953
SEQF1504		NCBI	HMT-574	Escherichia	coli	str. K-12 substr. DH10B	1	4,686,137
SEQF1507		NCBI	HMT-574	Escherichia	coli	O157:H7 str. EC4042	4	5,617,728
SEQF1508		NCBI	HMT-574	Escherichia	coli	O157:H7 str. EC4045	8	5,634,850
SEQF1509		NCBI	HMT-574	Escherichia	coli	O157:H7 str. EC4076 	135	5,705,645
SEQF1510		NCBI	HMT-574	Escherichia	coli	O157:H7 str. EC4113	231	5,655,847
SEQF1511	HOMD	NCBI	HMT-574	Escherichia	coli	O157:H7 str. EC4115	3	5,704,171
SEQF1512		NCBI	HMT-574	Escherichia	coli	O157:H7 str. EC4196	186	5,620,606
SEQF1513		NCBI	HMT-574	Escherichia	coli	O157:H7 str. EC4206	7	5,629,932
SEQF1514		NCBI	HMT-574	Escherichia	coli	O157:H7 str. EC4401	186	5,733,133
SEQF1515		NCBI	HMT-574	Escherichia	coli	O157:H7 str. EC4486	165	5,933,166
SEQF1516		NCBI	HMT-574	Escherichia	coli	O157:H7 str. EC4501	250	5,677,181
SEQF1517		NCBI	HMT-574	Escherichia	coli	O157:H7 str. EC508	272	5,656,666
SEQF1518		NCBI	HMT-574	Escherichia	coli	O157:H7 str. EC869	147	5,731,065
SEQF1519		NCBI	HMT-574	Escherichia	coli	SECEC SMS-3-5	5	5,215,377
SEQF1523		NCBI	HMT-734	Streptococcus	pneumoniae	70585	1	2,184,682
SEQF1524		NCBI	HMT-734	Streptococcus	pneumoniae	CDC0288-04	38	2,049,808
SEQF1525		NCBI	HMT-734	Streptococcus	pneumoniae	CDC1087-00	75	2,187,960
SEQF1526		NCBI	HMT-734	Streptococcus	pneumoniae	CDC1873-00	53	2,263,323
SEQF1527		NCBI	HMT-734	Streptococcus	pneumoniae	CDC3059-06	33	2,292,125
SEQF1528		NCBI	HMT-734	Streptococcus	pneumoniae	Hungary19A-6	1	2,245,615
SEQF1529		NCBI	HMT-734	Streptococcus	pneumoniae	JJA	1	2,120,234
SEQF1530		NCBI	HMT-734	Streptococcus	pneumoniae	MLV-016	126	2,242,383
SEQF1531		NCBI	HMT-734	Streptococcus	pneumoniae	SP195	41	2,196,854
SEQF1532		NCBI	HMT-734	Streptococcus	pneumoniae	Taiwan19F-14	1	2,112,148
SEQF1533	HOMD	NCBI	HMT-608	Lactobacillus	fermentum	IFO 3956	1	2,098,685
SEQF1536		NCBI	HMT-734	Streptococcus	pneumoniae	BS397	22	2,070,802
SEQF1538	HOMD	NCBI	HMT-619	Porphyromonas	gingivalis	ATCC 33277	1	2,354,886
SEQF1541	HOMD		HMT-357	Pyramidobacter	piscolens	W5455 (TFI-JCVI)	852	615,414
SEQF1543		NCBI	HMT-825	Listeria	monocytogenes	FSL J2-071	53	2,853,713
SEQF1544		NCBI	HMT-825	Listeria	monocytogenes	FSL N1-017	79	3,142,060
SEQF1545		NCBI	HMT-825	Listeria	monocytogenes	FSL N3-165	39	2,884,080
SEQF1546		NCBI	HMT-825	Listeria	monocytogenes	FSL R2-503	55	2,991,493
SEQF1547		NCBI	HMT-825	Listeria	monocytogenes	FSL R2-561	1	2,973,801
SEQF1548		NCBI	HMT-825	Listeria	monocytogenes	Finland 1988	1	2,874,431
SEQF1549		NCBI	HMT-825	Listeria	monocytogenes	HPB2262	79	2,991,120
SEQF1551		NCBI	HMT-825	Listeria	monocytogenes	J0161	1	3,000,464
SEQF1552		NCBI	HMT-825	Listeria	monocytogenes	J2818	24	2,973,040
SEQF1555		NCBI	HMT-827	Yersinia	pestis	Angola	3	4,687,014
SEQF1556		NCBI	HMT-827	Yersinia	pestis	CA88-4125	8	4,658,875
SEQF1558		NCBI	HMT-827	Yersinia	pestis	Nepal516	23	4,629,080
SEQF1559		NCBI	HMT-827	Yersinia	pestis	Pestoides A	37	4,750,606
SEQF1560		NCBI	HMT-827	Yersinia	pestis	biovar Antiqua str. B42003004	69	4,841,690
SEQF1561		NCBI	HMT-827	Yersinia	pestis	biovar Antiqua str. E1979001	75	4,847,813
SEQF1562		NCBI	HMT-827	Yersinia	pestis	biovar Antiqua str. UG05-0454	98	4,838,246
SEQF1563		NCBI	HMT-827	Yersinia	pestis	biovar Mediaevalis str. K1973002	73	4,720,694
SEQF1564		NCBI	HMT-827	Yersinia	pestis	biovar Medievalis str. Harbin 35	4	4,709,501
SEQF1565		NCBI	HMT-827	Yersinia	pestis	biovar Orientalis str. F1991016	107	4,892,085
SEQF1566		NCBI	HMT-827	Yersinia	pestis	biovar Orientalis str. India 195	33	4,719,608
SEQF1567		NCBI	HMT-827	Yersinia	pestis	biovar Orientalis str. IP275	101	5,139,152
SEQF1568		NCBI	HMT-827	Yersinia	pestis	biovar Orientalis str. MG05-1020	80	4,977,609
SEQF1569		NCBI	HMT-827	Yersinia	pestis	biovar Orientalis str. PEXU2	5	4,770,886
SEQF1572		NCBI	HMT-574	Escherichia	coli	BL21(DE3)	1	4,570,938
SEQF1574		NCBI	HMT-825	Listeria	monocytogenes	HCC23	1	2,976,212
SEQF1575	HOMD	NCBI	HMT-748	Campylobacter	rectus	RM3267	89	2,513,107
SEQF1576	HOMD	NCBI	HMT-775	Capnocytophaga	sputigena	ATCC 33612	65	2,997,845
SEQF1577		NCBI	HMT-829	Gardnerella	vaginalis	409-05	1	1,617,545
SEQF1587		NCBI	HMT-734	Streptococcus	pneumoniae	BS457	97	2,053,197
SEQF1588		NCBI	HMT-734	Streptococcus	pneumoniae	BS458	109	2,063,728
SEQF1589		NCBI	HMT-734	Streptococcus	pneumoniae	SP14-BS292	25	2,100,368
SEQF1590		NCBI	HMT-734	Streptococcus	pneumoniae	SP9v-BS293	30	2,065,452
SEQF1593	HOMD	NCBI	HMT-130	Selenomonas	noxia	ATCC 43541	56	2,039,467
SEQF1594	HOMD	NCBI	HMT-706	Kingella	oralis	ATCC 51147	12	2,405,975
SEQF1595	HOMD	NCBI	HMT-389	Abiotrophia	defectiva	ATCC 49176	26	3,477,404
SEQF1596	HOMD	NCBI	HMT-165	Catonella	morbi	ATCC 51271	20	2,041,839
SEQF1597	HOMD	NCBI	HMT-466	Alloprevotella	tannerae	ATCC 51259	34	2,582,919
SEQF1598	HOMD	NCBI	HMT-151	Selenomonas	sputigena	ATCC 35185	60	2,553,831
SEQF1599	HOMD	NCBI	HMT-602	Slackia	exigua	ATCC 700122	19	2,094,589
SEQF1600	HOMD	NCBI	HMT-845	Leptotrichia	goodfellowii	F0264	189	2,282,634
SEQF1601	HOMD	NCBI	HMT-224	Leptotrichia	hofstadii	F0254	42	2,453,253
SEQF1602	HOMD	NCBI	HMT-337	Capnocytophaga	gingivalis	ATCC 33624	36	2,666,884
SEQF1603	HOMD	NCBI	HMT-078	Oribacterium	sp. HMT 078	F0262	42	2,671,548
SEQF1604	HOMD	NCBI	HMT-633	Cardiobacterium	hominis	ATCC 15826	142	2,578,897
SEQF1605	HOMD	NCBI	HMT-534	Granulicatella	adiacens	ATCC 49175	31	1,923,088
SEQF1607	HOMD	NCBI	HMT-457	Oribacterium	sinus	F0268	254	2,629,409
SEQF1608	HOMD		HMT-596	Granulicatella	elegans	ATCC 700633	36	1,881,850
SEQF1610	HOMD	NCBI	HMT-029	Treponema	vincentii	ATCC 35580	72	2,512,734
SEQF1611	HOMD	NCBI	HMT-357	Pyramidobacter	piscolens	W5455, DSM 21147, CCUG 55836, F0317	140	2,562,014
SEQF1612		NCBI	HMT-777	Jonquetella	anthropi	E3_33 E1	37	1,786,558
SEQF1616	HOMD	NCBI	HMT-125	Selenomonas	flueggei	ATCC 43531	33	2,157,862
SEQF1617	HOMD	NCBI	HMT-472	Prevotella	sp. HMT 472	F0295	190	3,571,906
SEQF1618		NCBI	HMT-222	Leptotrichia	wadei	F0279	115	2,349,355
SEQF1619	HOMD	NCBI	HMT-536	Pseudomonas	aeruginosa	LESB58	1	6,601,757
SEQF1620		NCBI	HMT-550	Staphylococcus	aureus	JKD6008	1	2,924,344
SEQF1622		NCBI	HMT-554	Acinetobacter	baumannii	AB307-0294	1	3,760,981
SEQF1624		NCBI	HMT-574	Escherichia	coli	O127:H6 str. E2348/69	3	5,069,678
SEQF1638		NCBI	HMT-558	Lactobacillus	brevis	ATCC 27305	178	3,077,715
SEQF1639		NCBI	HMT-574	Escherichia	coli	LF82	1	4,773,108
SEQF1640		NCBI	HMT-601	Staphylococcus	epidermidis	BCM-HMP0060	115	2,552,994
SEQF1641		NCBI	HMT-662	Finegoldia	magna	ATCC 53516	3	1,908,011
SEQF1642		NCBI	HMT-734	Streptococcus	pneumoniae	ATCC 700669	1	2,221,315
SEQF1643		NCBI	HMT-812	Helicobacter	pylori	G27	2	1,663,013
SEQF1644		NCBI	HMT-812	Helicobacter	pylori	P12	2	1,684,038
SEQF1645	HOMD	NCBI	HMT-823	Mycobacterium	leprae	Br4923	1	3,268,071
SEQF1646	HOMD	NCBI	HMT-272	Bacteroidaceae [G-1]	bacterium HMT 272	F0290	30	2,502,741
SEQF1647	HOMD	NCBI	HMT-180	Actinomyces	sp. HMT 180	F0310	45	2,348,120
SEQF1648	HOMD	NCBI	HMT-666	Corynebacterium	matruchotii	ATCC 33806	58	2,967,145
SEQF1649	HOMD	NCBI	HMT-839	Lactobacillus	jensenii	1153	8	1,737,637
SEQF1652	HOMD	NCBI	HMT-683	Simonsiella	muelleri	ATCC 29453	82	2,343,541
SEQF1653	HOMD	NCBI	HMT-325	Capnocytophaga	granulosa	ATCC 51502	28	2,740,113
SEQF1654	HOMD		HMT-642	Scardovia	inopinata	F0304, DSM 10107	20	1,801,055
SEQF1655	HOMD		HMT-586	Parascardovia	denticolens	F0305	26	1,891,123
SEQF1656	HOMD	NCBI	HMT-311	Prevotella	oris	F0302	83	3,243,891
SEQF1657		NCBI	HMT-701	Actinomyces	odontolyticus	F0309	97	2,422,895
SEQF1658	HOMD		HMT-786	Paenibacillus	phoenicis	D14	300	4,872,225
SEQF1659	HOMD		HMT-014	Neisseria	oralis	F0314	48	2,502,635
SEQF1660	HOMD	NCBI	HMT-848	Peptidiphaga	gingivicola	F0332	17	2,518,495
SEQF1663	HOMD	NCBI	HMT-572	Prevotella	veroralis	F0319	97	2,986,480
SEQF1666	HOMD	NCBI	HMT-178	Actinomyces	sp. HMT 178	F0338	341	2,733,433
SEQF1667	HOMD	NCBI	HMT-850	Actinomyces	cardiffensis	F0333	42	2,188,900
SEQF1668	HOMD	NCBI	HMT-849	Actinomyces	johnsonii	F0330	255	3,385,844
SEQF1670	HOMD	NCBI	HMT-809	Olsenella	sp. HMT 809	F0356	17	2,159,805
SEQF1671	HOMD	NCBI	HMT-302	Alloprevotella	rava	F0323	57	2,588,570
SEQF1672	HOMD	NCBI	HMT-635	Johnsonella	ignava	ATCC 51276	80	2,672,404
SEQF1673	HOMD	NCBI	HMT-639	Selenomonas	infelix	ATCC 43532	46	2,409,106
SEQF1674	HOMD	NCBI	HMT-363	Fretibacterium	fastidiosum	SGP1	1	2,728,333
SEQF1675		NCBI	HMT-545	Aggregatibacter	aphrophilus	F0387	24	2,253,935
SEQF1676	HOMD	NCBI	HMT-110	Parvimonas	sp. HMT 110	F0139	2	1,556,464
SEQF1677	HOMD	NCBI	HMT-291	Prevotella	denticola	F0289	1	2,937,589
SEQF1678	HOMD	NCBI	HMT-739	Pseudopropionibacterium	propionicum	F0230a	1	3,449,360
SEQF1679		NCBI	HMT-584	Treponema	denticola	F0402	31	2,734,980
SEQF1680		NCBI	HMT-202	Fusobacterium	nucleatum subsp. polymorphum	F0401	34	2,459,804
SEQF1681	HOMD	NCBI	HMT-836	Peptoniphilus	lacrimalis	F0141	145	1,625,156
SEQF1683	HOMD	NCBI	HMT-678	Solobacterium	moorei	F0204	43	2,004,937
SEQF1684	HOMD	NCBI	HMT-329	Capnocytophaga	leadbetteri	F0087	155	6,748,162
SEQF1685	HOMD	NCBI	HMT-122	Megasphaera	micronuciformis	F0359	46	1,764,798
SEQF1687	HOMD	NCBI	HMT-338	Capnocytophaga	sp. HMT 338	F0234	74	2,478,610
SEQF1688		NCBI	HMT-188	Rothia	aeria	F0184	83	2,598,088
SEQF1689		NCBI	HMT-693	Prevotella	nigrescens	F0103	131	3,021,735
SEQF1690		NCBI	HMT-130	Selenomonas	noxia	F0398	26	2,107,556
SEQF1691	HOMD	NCBI	HMT-288	Prevotella	oulorum	F0390	81	2,788,455
SEQF1692		NCBI	HMT-543	Streptococcus	anginosus	F0211	63	1,993,709
SEQF1693	HOMD	NCBI	HMT-171	Actinomyces	sp. HMT 171	F0337	530	2,993,299
SEQF1695	HOMD	NCBI	HMT-105	Peptostreptococcaceae [XI][G-1]	[Eubacterium] infirmum	F0142	42	1,900,824
SEQF1697	HOMD	NCBI	HMT-124	Selenomonas	artemidis	F0399	61	2,208,863
SEQF1698	HOMD	NCBI	HMT-158	Veillonella	rogosae	F0412	21	2,176,752
SEQF1701	HOMD	NCBI	HMT-448	Actinomyces	sp. HMT 448	F0400	69	2,801,370
SEQF1702	HOMD	NCBI	HMT-411	Streptococcus	parasanguinis clade 411	F0405	16	2,050,302
SEQF1703	HOMD	NCBI	HMT-644	Streptococcus	intermedius	F0413	13	1,921,347
SEQF1704	HOMD	NCBI	HMT-398	Streptococcus	oralis subsp. dentisani clade 398	F0407	55	1,846,752
SEQF1705	HOMD	NCBI	HMT-021	Streptococcus	vestibularis	F0396	11	2,022,289
SEQF1706		NCBI	HMT-644	Streptococcus	intermedius	F0395	22	1,927,278
SEQF1707		NCBI	HMT-531	Aggregatibacter	actinomycetemcomitans	D11S-1	4	2,204,665
SEQF1708	HOMD	NCBI	HMT-824	Bacillus	anthracis	A0248	3	5,503,926
SEQF1709		NCBI	HMT-824	Bacillus	anthracis	CDC 684	3	5,506,763
SEQF1710		NCBI	HMT-574	Escherichia	coli	O111:H- str. 11128	6	5,766,081
SEQF1711		NCBI	HMT-574	Escherichia	coli	O26:H11 str. 11368	5	5,855,531
SEQF1712		NCBI	HMT-574	Escherichia	coli	O103:H2 str. 12009	2	5,524,860
SEQF1713	HOMD	NCBI	HMT-574	Escherichia	coli	BW2952	1	4,578,159
SEQF1714	HOMD	NCBI	HMT-812	Helicobacter	pylori	B38	1	1,576,758
SEQF1715	HOMD	NCBI	HMT-731	Klebsiella	pneumoniae	NTUH-K2044	2	5,472,672
SEQF1716		NCBI	HMT-819	Lactobacillus	johnsonii	FI9785	3	1,785,116
SEQF1717	HOMD	NCBI	HMT-749	Lactobacillus	rhamnosus	GG	1	3,010,111
SEQF1718		NCBI	HMT-749	Lactobacillus	rhamnosus	Lc 705	2	3,033,106
SEQF1719	HOMD	NCBI	HMT-804	Lactococcus	lactis	KF147	2	2,635,654
SEQF1720		NCBI	HMT-825	Listeria	monocytogenes	08-5923	1	2,999,054
SEQF1721	HOMD	NCBI	HMT-825	Listeria	monocytogenes	serotype 4b str. CLIP 80459	1	2,912,690
SEQF1722	HOMD	NCBI	HMT-632	Mycoplasma	hominis	ATCC 23114	1	665,445
SEQF1723		NCBI	HMT-669	Neisseria	meningitidis	alpha14	1	2,145,295
SEQF1724	HOMD	NCBI	HMT-681	Rothia	mucilaginosa	DY-18	1	2,264,603
SEQF1725		NCBI	HMT-550	Staphylococcus	aureus	ED98	4	2,847,542
SEQF1726		NCBI	HMT-734	Streptococcus	pneumoniae	P1031	1	2,111,882
SEQF1728	HOMD	NCBI	HMT-788	Anaerococcus	tetradius	ATCC 35098	122	2,098,658
SEQF1729	HOMD	NCBI	HMT-814	Atopobium	vaginae	DSM 15829	6	1,430,526
SEQF1730	HOMD	NCBI	HMT-603	Bulleidia	extructa	W1219, ATCC BAA-170, DSM 13220	16	1,419,583
SEQF1731	HOMD	NCBI	HMT-763	Campylobacter	showae	RM3277	33	2,072,007
SEQF1734	HOMD		HMT-801	Enterococcus	casseliflavus	EC30	79	3,415,885
SEQF1736		NCBI	HMT-604	Enterococcus	faecalis	ATCC 29200	123	2,936,061
SEQF1751		NCBI	HMT-604	Enterococcus	faecalis	TUSoD Ef11	11	2,836,650
SEQF1752		NCBI	HMT-604	Enterococcus	faecalis	TX1322	116	2,929,602
SEQF1754		NCBI	HMT-574	Escherichia	coli	83972	159	5,066,014
SEQF1757	HOMD	NCBI	HMT-829	Gardnerella	vaginalis	ATCC 14019	1	1,667,350
SEQF1758		NCBI	HMT-641	Haemophilus	influenzae	NT127	41	1,865,669
SEQF1759		NCBI	HMT-641	Haemophilus	influenzae	RdAW	32	1,802,170
SEQF1760		NCBI	HMT-731	Klebsiella	pneumoniae	ATCC 13884	268	5,280,675
SEQF1761		NCBI	HMT-529	Lactobacillus	acidophilus	ATCC 4796	69	1,999,667
SEQF1766		NCBI	HMT-608	Lactobacillus	fermentum	ATCC 14931	145	1,796,949
SEQF1767		NCBI	HMT-615	Lactobacillus	gasseri	202-4	70	1,820,250
SEQF1768		NCBI	HMT-615	Lactobacillus	gasseri	224-1	37	2,005,522
SEQF1769		NCBI	HMT-615	Lactobacillus	gasseri	JV-V03	10	2,011,295
SEQF1770	HOMD	NCBI	HMT-838	Lactobacillus	iners	DSM 13335	22	1,269,484
SEQF1773		NCBI	HMT-839	Lactobacillus	jensenii	269-3	57	1,688,275
SEQF1776		NCBI	HMT-819	Lactobacillus	johnsonii	ATCC 33200	52	1,772,891
SEQF1777		NCBI	HMT-716	Lactobacillus	paracasei	ATCC 25302	174	2,885,587
SEQF1778		NCBI	HMT-818	Lactobacillus	reuteri clade 818	CF48-3A	244	2,032,595
SEQF1779		NCBI	HMT-818	Lactobacillus	reuteri clade 818	MM2-3	167	1,943,466
SEQF1780		NCBI	HMT-818	Lactobacillus	reuteri clade 818	MM4-1A	7	2,067,914
SEQF1781		NCBI	HMT-749	Lactobacillus	rhamnosus	LMS2-1	162	3,109,803
SEQF1782		NCBI	HMT-756	Lactobacillus	salivarius	ATCC 11741	54	1,995,868
SEQF1783	HOMD	NCBI	HMT-051	Lactobacillus	vaginalis	ATCC 49540	133	1,790,300
SEQF1784		NCBI	HMT-830	Mobiluncus	mulieris	28-1	55	2,452,380
SEQF1785	HOMD	NCBI	HMT-830	Mobiluncus	mulieris	ATCC 35243	65	2,398,290
SEQF1790		NCBI	HMT-610	Neisseria	flavescens	SK114	31	2,204,114
SEQF1794	HOMD		HMT-621	Neisseria	gonorrhoeae	DGI2	134	2,093,927
SEQF1795	HOMD	NCBI	HMT-836	Peptoniphilus	lacrimalis	315-B	65	1,697,645
SEQF1796	HOMD	NCBI	HMT-785	Porphyromonas	uenonis	60-3	250	2,242,885
SEQF1797	HOMD	NCBI	HMT-556	Prevotella	bivia	JCVIHMP010	121	2,424,432
SEQF1798	HOMD		HMT-560	Prevotella	buccae	D17	264	3,297,980
SEQF1799	HOMD	NCBI	HMT-562	Prevotella	buccalis	ATCC 35310	118	3,033,961
SEQF1800	HOMD		HMT-469	Prevotella	melaninogenica	D18	173	3,213,441
SEQF1801		NCBI	HMT-530	Cutibacterium	acnes	J139	7	2,481,963
SEQF1802	HOMD	NCBI	HMT-676	Proteus	mirabilis	ATCC 29906	97	3,970,930
SEQF1803		NCBI	HMT-550	Staphylococcus	aureus	A10102	45	2,820,632
SEQF1804		NCBI	HMT-550	Staphylococcus	aureus	A5937	32	2,827,272
SEQF1805		NCBI	HMT-550	Staphylococcus	aureus	A5948	65	2,846,107
SEQF1806		NCBI	HMT-550	Staphylococcus	aureus	A6224	49	2,870,228
SEQF1807		NCBI	HMT-550	Staphylococcus	aureus	A6300	49	2,816,649
SEQF1808		NCBI	HMT-550	Staphylococcus	aureus	A8115	38	2,746,960
SEQF1809		NCBI	HMT-550	Staphylococcus	aureus	A8117	32	2,715,851
SEQF1810		NCBI	HMT-550	Staphylococcus	aureus	A9299	48	2,782,181
SEQF1811		NCBI	HMT-550	Staphylococcus	aureus	A9635	40	2,731,263
SEQF1812		NCBI	HMT-550	Staphylococcus	aureus	A9719	60	2,856,961
SEQF1813		NCBI	HMT-550	Staphylococcus	aureus	A9763	41	2,769,858
SEQF1814		NCBI	HMT-550	Staphylococcus	aureus	A9765	86	2,887,954
SEQF1815		NCBI	HMT-550	Staphylococcus	aureus	A9781	50	2,822,169
SEQF1830		NCBI	HMT-550	Staphylococcus	aureus	MN8	5	2,882,664
SEQF1831		NCBI	HMT-550	Staphylococcus	aureus	TCH130	284	2,765,336
SEQF1832		NCBI	HMT-550	Staphylococcus	aureus	TCH60	2	2,827,166
SEQF1833		NCBI	HMT-550	Staphylococcus	aureus	TCH70	18	2,812,425
SEQF1835	HOMD		HMT-550	Staphylococcus	aureus	WW2703/97	151	2,743,583
SEQF1836		NCBI	HMT-601	Staphylococcus	epidermidis	M23864:W1	78	2,611,504
SEQF1837		NCBI	HMT-601	Staphylococcus	epidermidis	SK135	33	2,518,045
SEQF1838	HOMD	NCBI	HMT-601	Staphylococcus	epidermidis	W23144	164	2,573,277
SEQF1839	HOMD	NCBI	HMT-076	Staphylococcus	warneri	L37603	77	2,425,653
SEQF1840		NCBI	HMT-734	Streptococcus	pneumoniae	TCH8431/19A	1	2,088,772
SEQF1843	HOMD	NCBI	HMT-755	Streptococcus	salivarius	SK126	101	2,128,332
SEQF1844	HOMD	NCBI	HMT-827	Yersinia	pestis	KIM D27	9	4,681,648
SEQF1845		NCBI	HMT-531	Aggregatibacter	actinomycetemcomitans	D7S-1	1	2,309,073
SEQF1846	HOMD	NCBI	HMT-594	Streptococcus	downei	F0415	17	2,239,421
SEQF1847	HOMD	NCBI	HMT-056	Streptococcus	sp. HMT 056	F0418	1	1,943,250
SEQF1848	HOMD	NCBI	HMT-175	Actinomyces	sp. HMT 175	F0384	7	3,133,330
SEQF1849	HOMD	NCBI	HMT-170	Actinomyces	sp. HMT 170	F0386	98	3,135,053
SEQF1850	HOMD	NCBI	HMT-851	Haemophilus	haemolyticus	F0397	37	1,837,573
SEQF1851		NCBI	HMT-191	Acidipropionibacterium	acidifaciens	F0233	334	3,017,605
SEQF1852	HOMD	NCBI	HMT-298	Prevotella	histicola	F0411	39	2,987,441
SEQF1853	HOMD	NCBI	HMT-195	Scardovia	wiggsiae	F0424	6	1,552,186
SEQF1854	HOMD	NCBI	HMT-108	Oribacterium	asaccharolyticum	F0425	1	2,518,361
SEQF1855	HOMD	NCBI	HMT-375	Peptoniphilus	sp. HMT 375	F0436	1	1,950,550
SEQF1856		NCBI	HMT-709	Lactobacillus	oris	F0423	20	2,174,937
SEQF1857	HOMD	NCBI	HMT-393	Parvimonas	sp. HMT 393	F0440	5	1,483,165
SEQF1858	HOMD	NCBI	HMT-137	Selenomonas	sp. HMT 137	F0430	15	2,475,066
SEQF1859	HOMD	NCBI	HMT-780	Veillonella	sp. HMT 780	F0422	75	1,731,014
SEQF1860	HOMD	NCBI	HMT-540	Cardiobacterium	valvarum	F0432	184	2,544,363
SEQF1861	HOMD	NCBI	HMT-424	Lactobacillus	kisonensis	F0435	273	2,967,250
SEQF1862	HOMD	NCBI	HMT-418	Lactobacillus	parafarraginis	F0439	210	2,851,633
SEQF1863	HOMD	NCBI	HMT-378	Prevotella	micans	F0438	69	2,467,372
SEQF1864		NCBI	HMT-584	Treponema	denticola	ATCC 35404	33	2,754,203
SEQF1865		NCBI	HMT-584	Treponema	denticola	ATCC 33520	25	2,872,122
SEQF1866		NCBI	HMT-584	Treponema	denticola	OTK/F0454	11	2,850,287
SEQF1867		NCBI	HMT-584	Treponema	denticola	SP37/F0455	28	2,805,165
SEQF1868		NCBI	HMT-584	Treponema	denticola	H1-T/F0456	26	2,920,599
SEQF1869		NCBI	HMT-584	Treponema	denticola	H-22/F0457	21	2,747,786
SEQF1870		NCBI	HMT-584	Treponema	denticola	MYR-T/F0458	22	2,928,435
SEQF1871		NCBI	HMT-584	Treponema	denticola	US-Trep/F0459	22	2,754,526
SEQF1872		NCBI	HMT-584	Treponema	denticola	ASLM/F0460	43	2,751,231
SEQF1873		NCBI	HMT-584	Treponema	denticola	AL-2/F0461	18	2,832,949
SEQF1874		NCBI	HMT-584	Treponema	denticola	SP23/F0463	12	2,818,666
SEQF1875		NCBI	HMT-584	Treponema	denticola	SP32/F0464	32	2,962,533
SEQF1876		NCBI	HMT-584	Treponema	denticola	SP33/F0465	40	2,921,808
SEQF1877		NCBI	HMT-584	Treponema	denticola	SP44/F0466	17	2,813,914
SEQF1878		NCBI	HMT-584	Treponema	denticola	ATCC 33521	25	2,750,006
SEQF1879	HOMD	NCBI	HMT-370	Fusobacterium	sp. HMT 370	F0437	280	2,080,148
SEQF1880	HOMD	NCBI	HMT-121	Anaeroglobus	geminatus	F0357	98	1,792,939
SEQF1881	HOMD	NCBI	HMT-082	Lachnoanaerobaculum	orale	F0431	209	2,933,600
SEQF1883	HOMD	NCBI	HMT-420	Fusobacterium	nucleatum subsp. animalis	F0419	39	2,408,755
SEQF1885		NCBI	HMT-721	Streptococcus	parasanguinis clade 721	F0449	134	2,082,334
SEQF1887	HOMD	NCBI	HMT-306	Prevotella	sp. HMT 306	F0472	74	2,945,767
SEQF1888	HOMD	NCBI	HMT-070	Streptococcus	oralis subsp. tigurinus clade 070	F0441	11	1,981,149
SEQF1889	HOMD	NCBI	HMT-066	Streptococcus	sp. HMT 066	F0442	13	2,224,000
SEQF1890	HOMD	NCBI	HMT-133	Selenomonas	sp. HMT 133	F0473	10	2,055,819
SEQF1892	HOMD	NCBI	HMT-590	Brevundimonas	diminuta	470-4, ATCC 13184	165	3,335,164
SEQF1893	HOMD	NCBI	HMT-693	Prevotella	nigrescens	ATCC 33563	86	2,612,230
SEQF1894		NCBI	HMT-531	Aggregatibacter	actinomycetemcomitans	Y4, ATCC 43718	121	2,185,821
SEQF1895		NCBI	HMT-542	Peptostreptococcus	anaerobius	VPI 4330, ATCC 27337	110	1,988,071
SEQF1897	HOMD	NCBI	HMT-595	Corynebacterium	durum	F0235	38	2,807,603
SEQF1899	HOMD	NCBI	HMT-473	Alloprevotella	sp. HMT 473	F0040	85	2,551,017
SEQF1900	HOMD	NCBI	HMT-326	Capnocytophaga	sp. HMT 326	F0382	236	3,214,373
SEQF1901	HOMD	NCBI	HMT-188	Rothia	aeria	F0474	50	2,584,293
SEQF1902	HOMD	NCBI	HMT-617	Actinomyces	georgiae	F0490	306	2,477,360
SEQF1903	HOMD	NCBI	HMT-852	Actinomyces	massiliensis	F0489	233	3,416,440
SEQF1906	HOMD	NCBI	HMT-335	Capnocytophaga	sp. HMT 335	F0486	37	2,545,696
SEQF1907	HOMD	NCBI	HMT-279	Porphyromonas	pasteri	F0450	51	2,265,201
SEQF1909	HOMD	NCBI	HMT-412	Capnocytophaga	sp. HMT 412	F0487	62	2,590,781
