#Organism Name	Organism Groups	Strain	BioSample	BioProject	Assembly	Level	Size(Mb)	GC%	Replicons	WGS	Scaffolds	CDS	Release Date	GenBank FTP	RefSeq FTP
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	DD07	SAMN04324326	PRJNA304333	GCA_001578795.1	Scaffold	2.23262	40.6	NA	LQRC01	51	2155	2016-03-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/578/795/GCA_001578795.1_ASM157879v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/578/795/GCF_001578795.1_ASM157879v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	CCUG 63687	SAMN06286559	PRJNA302716	GCA_002014795.1	Scaffold	2.03975	39.9	NA	MUYO01	9	1923	2017-03-03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/014/795/GCA_002014795.1_ASM201479v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/014/795/GCF_002014795.1_ASM201479v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	NCTC 12261	SAMN02435817	PRJNA173	GCA_000148585.3	Complete	1.86888	40.4	chromosome:NZ_CP028414.1/CP028414.1	NA	1	1662	2018-04-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/585/GCA_000148585.3_ASM14858v3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/585/GCF_000148585.2_ASM14858v3
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SVGS_061	SAMN04461788	PRJNA311086	GCA_001560895.1	Complete	2.16792	40	chromosome:NZ_CP014326.1/CP014326.1	NA	1	1874	2016-02-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/560/895/GCA_001560895.1_ASM156089v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/895/GCF_001560895.1_ASM156089v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	B6	SAMEA3138244	PRJNA16302	GCA_000027165.1	Complete	2.14661	40	chromosome:NC_013853.1/FN568063.1	NA	1	1947	2010-02-16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/165/GCA_000027165.1_ASM2716v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/165/GCF_000027165.1_ASM2716v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	S022-V3-A4	SAMN11382546	PRJNA208927	GCA_013305725.1	Complete	2.08696	39.7	chromosome:NZ_CP047883.1/CP047883.1	NA	1	1873	2020-06-09	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/305/725/GCA_013305725.1_ASM1330572v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/305/725/GCF_013305725.1_ASM1330572v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SK637	SAMN02836939	PRJNA242571	GCA_000722765.2	Complete	1.94211	40.3	chromosome:NZ_CP028415.1/CP028415.1	NA	1	1723	2018-04-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/722/765/GCA_000722765.2_ASM72276v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/722/765/GCF_000722765.2_ASM72276v2
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	KCOM 1350 (= ChDC B183)	SAMN03263069	PRJNA270122	GCA_001281025.1	Complete	1.90634	40.2	chromosome:NZ_CP012646.1/CP012646.1	NA	1	1762	2015-09-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/281/025/GCA_001281025.1_ASM128102v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/281/025/GCF_001281025.1_ASM128102v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	FDAARGOS_684	SAMN11056399	PRJNA231221	GCA_009730515.1	Complete	1.86886	40.4	chromosome:NZ_CP046335.1/CP046335.1	NA	1	1696	2019-12-05	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/730/515/GCA_009730515.1_ASM973051v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/515/GCF_009730515.1_ASM973051v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	ATCC 6249	SAMN00116813	PRJNA50515	GCA_000146585.1	Scaffold	1.91589	41.3	NA	AEEN01	8	1735	2010-08-24	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/585/GCA_000146585.1_ASM14658v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/585/GCF_000146585.1_ASM14658v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	NCTC12261	SAMEA3597588	PRJEB6403	GCA_900459425.1	Contig	1.87985	40.5	NA	UHFS01	3	1689	2018-07-30	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/459/425/GCA_900459425.1_42042_B02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/459/425/GCF_900459425.1_42042_B02
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	CCUG 31611	SAMN06286552	PRJNA302716	GCA_002014755.1	Scaffold	1.84788	40.4	NA	MUYN01	14	1690	2017-03-03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/014/755/GCA_002014755.1_ASM201475v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/014/755/GCF_002014755.1_ASM201475v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	NCTC11189	SAMEA3594356	PRJEB6403	GCA_901542415.1	Contig	2.15539	39.9	NA	CABEHV01	4	1936	2019-05-20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/542/415/GCA_901542415.1_41965_E01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/542/415/GCF_901542415.1_41965_E01
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	F0392	SAMN02415617	PRJNA49439	GCA_000221165.2	Contig	1.917	41.2	NA	AFUO01	2	1789	2011-07-21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/165/GCA_000221165.2_ASM22116v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/221/165/GCF_000221165.1_ASM22116v2
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	OT25	SAMN03334899	PRJNA274768	GCA_000960005.1	Contig	1.9152	40.1	NA	JYGP01	3	1788	2015-03-23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/960/005/GCA_000960005.1_ASM96000v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/960/005/GCF_000960005.1_ASM96000v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	321A	SAMN03219950	PRJNA268403	GCA_002005545.1	Scaffold	2.11068	40.1	NA	LBMT01	6	1891	2017-02-22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/005/545/GCA_002005545.1_ASM200554v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/545/GCF_002005545.1_ASM200554v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	4928STDY7071560	SAMEA104567666	PRJEB22252	GCA_902159415.1	Contig	1.70948	38.9	NA	CABGJU01	11	1673	2019-07-08	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/159/415/GCA_902159415.1_25426_7_64	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/159/415/GCF_902159415.1_25426_7_64
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SK137	SAMN03334900	PRJNA274768	GCA_000960025.1	Contig	1.9844	40.2	NA	JYGQ01	7	1824	2015-03-23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/960/025/GCA_000960025.1_ASM96002v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/960/025/GCF_000960025.1_ASM96002v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SK145	SAMN03334902	PRJNA274768	GCA_000960065.1	Contig	1.97317	40	NA	JYGS01	8	1804	2015-03-23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/960/065/GCA_000960065.1_ASM96006v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/960/065/GCF_000960065.1_ASM96006v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SK271	SAMN02698681	PRJNA242568	GCA_000724165.1	Contig	1.94458	40.3	NA	JPGW01	14	1729	2014-07-08	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/724/165/GCA_000724165.1_ASM72416v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/724/165/GCF_000724165.1_ASM72416v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SK642	SAMN02836938	PRJNA242572	GCA_000722705.1	Contig	1.98964	39.8	NA	JPFW01	11	1742	2014-07-07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/722/705/GCA_000722705.1_ASM72270v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/722/705/GCF_000722705.1_ASM72270v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	B_5756_13	SAMN06705596	PRJNA304678	GCA_002096935.1	Scaffold	1.8966	40.3	NA	NCVM01	27	1748	2017-04-18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/096/935/GCA_002096935.1_ASM209693v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/096/935/GCF_002096935.1_ASM209693v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	BCC40	SAMN09631732	PRJNA480251	GCA_003942915.1	Contig	1.89696	41.1	NA	RJOD01	51	1798	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/942/915/GCA_003942915.1_ASM394291v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/942/915/GCF_003942915.1_ASM394291v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	BCA11	SAMN09631746	PRJNA480251	GCA_003943905.1	Contig	1.94334	41	NA	RJNS01	18	1810	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/943/905/GCA_003943905.1_ASM394390v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/943/905/GCF_003943905.1_ASM394390v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	BCC30	SAMN09631681	PRJNA480251	GCA_003943555.1	Contig	1.97571	40	NA	RJPV01	25	1807	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/943/555/GCA_003943555.1_ASM394355v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/943/555/GCF_003943555.1_ASM394355v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	BCC65	SAMN09631740	PRJNA480251	GCA_003942775.1	Contig	2.06459	39.9	NA	RJNX01	34	1950	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/942/775/GCA_003942775.1_ASM394277v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/942/775/GCF_003942775.1_ASM394277v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	BCC33	SAMN09631730	PRJNA480251	GCA_003943955.1	Contig	1.95325	41	NA	RJOF01	32	1794	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/943/955/GCA_003943955.1_ASM394395v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/943/955/GCF_003943955.1_ASM394395v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	KLC12	SAMN09631745	PRJNA480251	GCA_003943915.1	Contig	2.06541	39.9	NA	RJNT01	45	1955	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/943/915/GCA_003943915.1_ASM394391v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/943/915/GCF_003943915.1_ASM394391v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SK578	SAMN02836940	PRJNA242567	GCA_000722755.1	Contig	2.08079	40	NA	JPFY01	16	1840	2014-07-07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/722/755/GCA_000722755.1_ASM72275v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/722/755/GCF_000722755.1_ASM72275v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	KLC01	SAMN09631741	PRJNA480251	GCA_003942765.1	Contig	2.04631	40	NA	RJNW01	31	1885	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/942/765/GCA_003942765.1_ASM394276v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/942/765/GCF_003942765.1_ASM394276v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	UMB1341	SAMN08193728	PRJNA316969	GCA_002860865.1	Scaffold	2.08176	40	NA	PKIE01	26	1900	2017-12-28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/860/865/GCA_002860865.1_ASM286086v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/860/865/GCF_002860865.1_ASM286086v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SK1126	SAMN02836935	PRJNA242574	GCA_000722815.1	Contig	1.93247	40.4	NA	JPFT01	9	1672	2014-07-07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/722/815/GCA_000722815.1_ASM72281v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/722/815/GCF_000722815.1_ASM72281v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SK667	SAMN02836937	PRJNA242573	GCA_000722685.1	Contig	2.13699	39.9	NA	JPFV01	15	1817	2014-07-07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/722/685/GCA_000722685.1_ASM72268v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/722/685/GCF_000722685.1_ASM72268v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SK629	SAMN02836936	PRJNA242570	GCA_000722695.1	Contig	2.2137	39.4	NA	JPFU01	27	1949	2014-07-07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/722/695/GCA_000722695.1_ASM72269v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/722/695/GCF_000722695.1_ASM72269v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM26	SAMN13105961	PRJNA316969	GCA_009496385.1	Contig	2.06096	39.9	NA	WIJZ01	27	1851	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/385/GCA_009496385.1_ASM949638v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/385/GCF_009496385.1_ASM949638v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM08	SAMN13105970	PRJNA316969	GCA_009496165.1	Contig	1.99601	40	NA	WIJQ01	18	1817	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/165/GCA_009496165.1_ASM949616v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/165/GCF_009496165.1_ASM949616v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM04	SAMN13105968	PRJNA316969	GCA_009496435.1	Contig	2.00077	40	NA	WIJS01	21	1813	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/435/GCA_009496435.1_ASM949643v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/435/GCF_009496435.1_ASM949643v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	RH_43861_09	SAMN06705602	PRJNA304678	GCA_002096835.1	Scaffold	1.84967	40.1	NA	NCVG01	23	1658	2017-04-18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/096/835/GCA_002096835.1_ASM209683v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/096/835/GCF_002096835.1_ASM209683v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	RH_17024_08	SAMN06705600	PRJNA304678	GCA_002096895.1	Contig	1.81981	40.4	NA	NCVI01	20	1657	2017-04-18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/096/895/GCA_002096895.1_ASM209689v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/096/895/GCF_002096895.1_ASM209689v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	RH_12363_08	SAMN06705599	PRJNA304678	GCA_002096815.1	Scaffold	1.98428	40.2	NA	NCVJ01	21	1839	2017-04-18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/096/815/GCA_002096815.1_ASM209681v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/096/815/GCF_002096815.1_ASM209681v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM50	SAMN13105985	PRJNA316969	GCA_009496905.1	Contig	1.89417	40.1	NA	WIJB01	18	1734	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/905/GCA_009496905.1_ASM949690v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/905/GCF_009496905.1_ASM949690v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	BCC45	SAMN09631734	PRJNA480251	GCA_003943935.1	Contig	1.99635	40.1	NA	RJOB01	59	1800	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/943/935/GCA_003943935.1_ASM394393v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/943/935/GCF_003943935.1_ASM394393v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	RH_8961_10	SAMN06705606	PRJNA304678	GCA_002096735.1	Scaffold	1.88894	40.2	NA	NCVC01	17	1762	2017-04-18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/096/735/GCA_002096735.1_ASM209673v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/096/735/GCF_002096735.1_ASM209673v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM41	SAMN13105981	PRJNA316969	GCA_009496235.1	Contig	2.03246	39.7	NA	WIJF01	27	1932	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/235/GCA_009496235.1_ASM949623v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/235/GCF_009496235.1_ASM949623v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM07	SAMN13105957	PRJNA316969	GCA_009496335.1	Contig	2.00289	40	NA	WIKD01	27	1817	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/335/GCA_009496335.1_ASM949633v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/335/GCF_009496335.1_ASM949633v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM30	SAMN13105963	PRJNA316969	GCA_009496045.1	Contig	2.00795	40	NA	WIJX01	28	1826	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/045/GCA_009496045.1_ASM949604v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/045/GCF_009496045.1_ASM949604v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM29	SAMN13105978	PRJNA316969	GCA_009496065.1	Contig	2.00588	40	NA	WIJI01	24	1825	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/065/GCA_009496065.1_ASM949606v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/065/GCF_009496065.1_ASM949606v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	KLC11	SAMN09631744	PRJNA480251	GCA_003942695.1	Contig	1.95829	41.1	NA	RJNU01	38	1843	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/942/695/GCA_003942695.1_ASM394269v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/942/695/GCF_003942695.1_ASM394269v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SK608	SAMN02836941	PRJNA242555	GCA_000722775.1	Contig	2.12786	40	NA	JPFZ01	15	1888	2014-07-07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/722/775/GCA_000722775.1_ASM72277v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/722/775/GCF_000722775.1_ASM72277v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM05	SAMN13105956	PRJNA316969	GCA_009496395.1	Contig	2.00135	40	NA	WIKE01	23	1819	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/395/GCA_009496395.1_ASM949639v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/395/GCF_009496395.1_ASM949639v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM06	SAMN13105969	PRJNA316969	GCA_009496505.1	Contig	2.00271	40	NA	WIJR01	27	1821	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/505/GCA_009496505.1_ASM949650v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/505/GCF_009496505.1_ASM949650v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM46	SAMN13105982	PRJNA316969	GCA_009496075.1	Contig	2.00701	40	NA	WIJE01	28	1826	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/075/GCA_009496075.1_ASM949607v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/075/GCF_009496075.1_ASM949607v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM09	SAMN13105958	PRJNA316969	GCA_009496375.1	Contig	1.97365	39.8	NA	WIKC01	15	1848	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/375/GCA_009496375.1_ASM949637v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/375/GCF_009496375.1_ASM949637v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM44	SAMN13105994	PRJNA316969	GCA_009496725.1	Contig	2.00013	40	NA	WIIS01	23	1818	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/725/GCA_009496725.1_ASM949672v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/725/GCF_009496725.1_ASM949672v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM35	SAMN13105989	PRJNA316969	GCA_009495895.1	Contig	2.00757	40	NA	WIIX01	25	1824	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/495/895/GCA_009495895.1_ASM949589v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/495/895/GCF_009495895.1_ASM949589v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM28	SAMN13105977	PRJNA316969	GCA_009496035.1	Contig	2.00754	40	NA	WIJJ01	30	1823	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/035/GCA_009496035.1_ASM949603v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/035/GCF_009496035.1_ASM949603v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM37	SAMN13105991	PRJNA316969	GCA_009496795.1	Contig	2.00604	40	NA	WIIV01	29	1826	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/795/GCA_009496795.1_ASM949679v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/795/GCF_009496795.1_ASM949679v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM19	SAMN13105988	PRJNA316969	GCA_009496805.1	Contig	2.00619	40	NA	WIIY01	27	1821	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/805/GCA_009496805.1_ASM949680v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/805/GCF_009496805.1_ASM949680v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM36	SAMN13105990	PRJNA316969	GCA_009496815.1	Contig	2.00582	40	NA	WIIW01	25	1822	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/815/GCA_009496815.1_ASM949681v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/815/GCF_009496815.1_ASM949681v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	DE0498	SAMN11792658	PRJNA543692	GCA_008763935.1	Scaffold	2.16784	40.1	NA	VTQF01	40	2066	2019-10-01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/763/935/GCA_008763935.1_FS623	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/763/935/GCF_008763935.1_FS623
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	RH_17439_08	SAMN06705601	PRJNA304678	GCA_002096855.1	Scaffold	1.90805	40.3	NA	NCVH01	33	1819	2017-04-18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/096/855/GCA_002096855.1_ASM209685v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/096/855/GCF_002096855.1_ASM209685v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	CCUG 61082	SAMN06302341	PRJNA302716	GCA_002014875.1	Scaffold	1.98919	39.9	NA	MUXS01	26	1837	2017-03-03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/014/875/GCA_002014875.1_ASM201487v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/014/875/GCF_002014875.1_ASM201487v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	RH_50275_09	SAMN06705603	PRJNA304678	GCA_002096755.1	Scaffold	2.05713	39.9	NA	NCVF01	26	1983	2017-04-18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/096/755/GCA_002096755.1_ASM209675v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/096/755/GCF_002096755.1_ASM209675v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	SM15	SAMN13105975	PRJNA316969	GCA_009496295.1	Contig	2.0165	39.9	NA	WIJL01	21	1903	2019-11-02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/496/295/GCA_009496295.1_ASM949629v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/295/GCF_009496295.1_ASM949629v1
Streptococcus mitis	Bacteria;Terrabacteria group;Firmicutes	UMB0079	SAMN08193729	PRJNA316969	GCA_002860825.1	Contig	1.96479	40	NA	PKID01	25	1769	2017-12-28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/860/825/GCA_002860825.1_ASM286082v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/860/825/GCF_002860825.1_ASM286082v1
